data,estado,arrecadacao
2006-07-01,AM,373.461432
2006-07-01,AP,12.798836
2006-07-01,BA,583.931486
2006-07-01,CE,272.885534
2006-07-01,DF,3365.546426
2006-07-01,ES,542.267376
2006-07-01,GO,257.233675
2006-07-01,MA,100.560819
2006-07-01,MG,1743.899014
2006-07-01,MS,77.738899
2006-07-01,MT,145.647171
2006-07-01,PA,211.564166
2006-07-01,PB,84.055097
2006-07-01,PE,360.782564
2006-07-01,PI,45.052595
2006-07-01,PR,1170.614131
2006-07-01,RJ,5742.777637
2006-07-01,RN,79.451698
2006-07-01,RO,37.394024
2006-07-01,RR,10.916748
2006-07-01,RS,1515.698882
2006-07-01,SC,749.093749
2006-07-01,SE,65.772977
2006-07-01,SP,13097.229958
2006-07-01,TO,35.569867
2006-08-01,AC,11.706653
2006-08-01,AL,41.252572
2006-08-01,AM,358.604851
2006-08-01,AP,13.059843
2006-08-01,BA,540.481167
2006-08-01,CE,277.144901
2006-08-01,DF,2583.690894
2006-08-01,ES,510.080683
2006-08-01,GO,260.400129
2006-08-01,MA,92.082394
2006-08-01,MG,1520.662556
2006-08-01,MS,77.53455
2006-08-01,MT,98.294009
2006-08-01,PA,132.769205
2006-08-01,PB,63.678177
2006-08-01,PE,334.747981
2006-08-01,PI,42.003433
2006-08-01,PR,1184.735406
2006-08-01,RJ,6354.394156
2006-08-01,RN,71.518971
2006-08-01,RO,33.000583
2006-08-01,RR,9.668825
2006-08-01,RS,1428.487301
2006-08-01,SC,698.643594
2006-08-01,SE,54.678264
2006-08-01,SP,12756.931084
2006-08-01,TO,21.624545
2006-09-01,AC,12.957768
2006-09-01,AL,57.628157
2006-09-01,AM,448.090528
2006-09-01,AP,13.815332
2006-09-01,BA,715.045245
2006-09-01,CE,320.19814
2006-09-01,DF,2939.606667
2006-09-01,ES,538.826922
2006-09-01,GO,261.832151
2006-09-01,MA,148.386701
2006-09-01,MG,1659.357752
2006-09-01,MS,86.014162
2006-09-01,MT,109.244077
2006-09-01,PA,166.057665
2006-09-01,PB,68.991628
2006-09-01,PE,366.265862
2006-09-01,PI,50.812043
2006-09-01,PR,1240.37649
2006-09-01,RJ,5907.850101
2006-09-01,RN,78.532906
2006-09-01,RO,49.100999
2006-09-01,RR,8.951843
2006-09-01,RS,1420.326147
2006-09-01,SC,825.820874
2006-09-01,SE,58.389683
2006-09-01,SP,14707.735578
2006-09-01,TO,30.863974
2006-10-01,AC,18.98464
2006-10-01,AL,49.179226
2006-10-01,AM,434.715919
2006-10-01,AP,13.934809
2006-10-01,BA,641.090303
2006-10-01,CE,319.249175
2006-10-01,DF,2976.42862
2006-10-01,ES,537.963057
2006-10-01,GO,271.99913
2006-10-01,MA,163.714258
2006-10-01,MG,1752.050831
2006-10-01,MS,102.089476
2006-10-01,MT,128.226115
2006-10-01,PA,169.994167
2006-10-01,PB,76.852037
2006-10-01,PE,416.552693
2006-10-01,PI,50.689615
2006-10-01,PR,1343.094637
2006-10-01,RJ,6664.600512
2006-10-01,RN,85.773193
2006-10-01,RO,39.64058
2006-10-01,RR,10.849679
